cod;nome;período;valor
1076;BRA;1989;9.51
1076;BRA;1990;11.51
1076;BRA;1991;10.73
1076;BRA;1992;9.94
1076;BRA;1993;11.22
1076;BRA;1994;12.29
1076;BRA;1995;14.32
1076;BRA;1996;14.63
1076;BRA;1997;15.31
1076;BRA;1998;15.87
1076;BRA;1999;16.41
1076;BRA;2000;18.58
1076;BRA;2001;19.38
1076;BRA;2002;19.56
1076;BRA;2003;20.42
1076;BRA;2004;18.83
1076;BRA;2005;18.14
1076;BRA;2006;18.7
1076;BRA;2007;18.56
1076;BRA;2008;18.82
1076;BRA;2009;19.12
1076;BRA;2010;19.29
1076;BRA;2011;19.1
1076;BRA;2012;20.66
1076;BRA;2013;20.08
1076;BRA;2014;21.08
1076;BRA;2015;20.45
1076;BRA;2016;21.58
1076;BRA;2017;22.88
1076;BRA;2018;19.75
1076;BRA;2019;14.67
