cod;nome;período;valor
11;RO;1989;29.07
12;AC;1989;13.88
13;AM;1989;7.88
14;RR;1989;0.52
15;PA;1989;8.21
16;AP;1989;7.82
17;TO;1989;4.74
21;MA;1989;3.78
22;PI;1989;2.64
23;CE;1989;3.78
24;RN;1989;5.95
25;PB;1989;7.37
26;PE;1989;24.77
27;AL;1989;14.15
28;SE;1989;5.04
29;BA;1989;5.37
31;MG;1989;3.38
32;ES;1989;16.48
33;RJ;1989;23.79
35;SP;1989;9.92
41;PR;1989;7.05
42;SC;1989;4.5
43;RS;1989;10.38
50;MS;1989;12.9
51;MT;1989;11.75
52;GO;1989;13.44
53;DF;1989;13.46
11;RO;1990;28.8
12;AC;1990;9.11
13;AM;1990;10.06
14;RR;1990;4.9
15;PA;1990;10.09
16;AP;1990;6.47
17;TO;1990;3.1
21;MA;1990;4.2
22;PI;1990;1.5
23;CE;1990;4.38
24;RN;1990;5.24
25;PB;1990;7.5
26;PE;1990;25.26
27;AL;1990;11.62
28;SE;1990;5.22
29;BA;1990;4.74
31;MG;1990;3.89
32;ES;1990;17.22
33;RJ;1990;44.33
35;SP;1990;10.27
41;PR;1990;7.5
42;SC;1990;5.1
43;RS;1990;12.99
50;MS;1990;11.32
51;MT;1990;10.05
52;GO;1990;10.3
53;DF;1990;18.92
11;RO;1991;24.28
12;AC;1991;17.72
13;AM;1991;11.36
14;RR;1991;9.65
15;PA;1991;10.63
16;AP;1991;7.26
17;TO;1991;5.44
21;MA;1991;4.28
22;PI;1991;1.39
23;CE;1991;4.35
24;RN;1991;5.01
25;PB;1991;5.9
26;PE;1991;28.77
27;AL;1991;10.62
28;SE;1991;12.67
29;BA;1991;2.46
31;MG;1991;3.92
32;ES;1991;19.3
33;RJ;1991;31.36
35;SP;1991;10.63
41;PR;1991;7.69
42;SC;1991;4.95
43;RS;1991;13.85
50;MS;1991;13.87
51;MT;1991;11.84
52;GO;1991;12.09
53;DF;1991;21.92
11;RO;1992;20.34
12;AC;1992;12.8
13;AM;1992;8.54
14;RR;1992;24.22
15;PA;1992;9.7
16;AP;1992;13.08
17;TO;1992;4.88
21;MA;1992;4.27
22;PI;1992;1.35
23;CE;1992;3.49
24;RN;1992;4.96
25;PB;1992;7.08
26;PE;1992;24.54
27;AL;1992;11.95
28;SE;1992;21.64
29;BA;1992;3.84
31;MG;1992;3.93
32;ES;1992;15.24
33;RJ;1992;28.01
35;SP;1992;10.32
41;PR;1992;7.59
42;SC;1992;4.06
43;RS;1992;13.09
50;MS;1992;14.61
51;MT;1992;8.33
52;GO;1992;11.66
53;DF;1992;18.34
11;RO;1993;23.19
12;AC;1993;15.31
13;AM;1993;8.21
14;RR;1993;18.25
15;PA;1993;7.56
16;AP;1993;13.28
17;TO;1993;3.4
21;MA;1993;3.52
22;PI;1993;1.39
23;CE;1993;4.72
24;RN;1993;6.55
25;PB;1993;6.32
26;PE;1993;26.68
27;AL;1993;14.01
28;SE;1993;10.76
29;BA;1993;8.55
31;MG;1993;4.06
32;ES;1993;21.49
33;RJ;1993;33.58
35;SP;1993;12.01
41;PR;1993;8.69
42;SC;1993;4.6
43;RS;1993;9.27
50;MS;1993;16.05
51;MT;1993;8.69
52;GO;1993;10.67
53;DF;1993;23.55
11;RO;1994;18.2
12;AC;1994;10.75
13;AM;1994;9.03
14;RR;1994;19.46
15;PA;1994;8.06
16;AP;1994;17.32
17;TO;1994;3.53
21;MA;1994;2.44
22;PI;1994;1.52
23;CE;1994;4.39
24;RN;1994;5.23
25;PB;1994;5.99
26;PE;1994;26.67
27;AL;1994;15.69
28;SE;1994;13.93
29;BA;1994;9.51
31;MG;1994;3.61
32;ES;1994;22.49
33;RJ;1994;41.68
35;SP;1994;13.35
41;PR;1994;9.51
42;SC;1994;4.51
43;RS;1994;10.74
50;MS;1994;17.16
51;MT;1994;6.99
52;GO;1994;12.03
53;DF;1994;24.97
11;RO;1995;12.47
12;AC;1995;12.96
13;AM;1995;8.71
14;RR;1995;20.98
15;PA;1995;7.6
16;AP;1995;17.78
17;TO;1995;4.27
21;MA;1995;3.23
22;PI;1995;2.17
23;CE;1995;5.96
24;RN;1995;5.92
25;PB;1995;7.63
26;PE;1995;29.23
27;AL;1995;18.69
28;SE;1995;8.78
29;BA;1995;8.63
31;MG;1995;4.5
32;ES;1995;22.89
33;RJ;1995;50.66
35;SP;1995;16.24
41;PR;1995;11.06
42;SC;1995;6.2
43;RS;1995;13.04
50;MS;1995;23.89
51;MT;1995;15.17
52;GO;1995;12.53
53;DF;1995;28.25
11;RO;1996;15.94
12;AC;1996;12.61
13;AM;1996;9.21
14;RR;1996;20.23
15;PA;1996;6.33
16;AP;1996;23.45
17;TO;1996;4.67
21;MA;1996;3.6
22;PI;1996;1.5
23;CE;1996;5.21
24;RN;1996;5.63
25;PB;1996;8.32
